Name	Description	Company	Type no	no of channels
UniSpec_DC	UniSpec Dual Channel	PP Systems	1	256
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
1	304.4	0		
2	307.8	0		
3	311.1	0		
4	314.4	0		
5	317.7	0		
6	321.1	0		
7	324.4	0		
8	327.7	0		
9	331	0		
10	334.3	0		
11	337.7	0		
12	341	0		
13	344.3	0		
14	347.6	0		
15	350.9	0		
16	354.3	0		
17	357.6	0		
18	360.9	0		
19	364.2	0		
20	367.5	0		
21	370.8	0		
22	374.2	0		
23	377.5	0		
24	380.8	0		
25	384.1	0		
26	387.4	0		
27	390.7	0		
28	394	0		
29	397.3	0		
30	400.6	0		
31	404	0		
32	407.3	0		
33	410.6	0		
34	413.9	0		
35	417.2	0		
36	420.5	0		
37	423.8	0		
38	427.1	0		
39	430.4	0		
40	433.7	0		
41	437	0		
42	440.3	0		
43	443.6	0		
44	446.9	0		
45	450.2	0		
46	453.5	0		
47	456.8	0		
48	460.1	0		
49	463.4	0		
50	466.7	0		
51	470	0		
52	473.3	0		
53	476.6	0		
54	479.9	0		
55	483.2	0		
56	486.5	0		
57	489.8	0		
58	493.1	0		
59	496.4	0		
60	499.7	0		
61	503	0		
62	506.3	0		
63	509.6	0		
64	512.8	0		
65	516.1	0		
66	519.4	0		
67	522.7	0		
68	526	0		
69	529.3	0		
70	532.6	0		
71	535.9	0		
72	539.2	0		
73	542.4	0		
74	545.7	0		
75	549	0		
76	552.3	0		
77	555.6	0		
78	558.9	0		
79	562.1	0		
80	565.4	0		
81	568.7	0		
82	572	0		
83	575.3	0		
84	578.5	0		
85	581.8	0		
86	585.1	0		
87	588.4	0		
88	591.7	0		
89	594.9	0		
90	598.2	0		
91	601.5	0		
92	604.8	0		
93	608	0		
94	611.3	0		
95	614.6	0		
96	617.8	0		
97	621.1	0		
98	624.4	0		
99	627.7	0		
100	630.9	0		
101	634.2	0		
102	637.5	0		
103	640.7	0		
104	644	0		
105	647.3	0		
106	650.5	0		
107	653.8	0		
108	657.1	0		
109	660.3	0		
110	663.6	0		
111	666.9	0		
112	670.1	0		
113	673.4	0		
114	676.7	0		
115	679.9	0		
116	683.2	0		
117	686.4	0		
118	689.7	0		
119	693	0		
120	696.2	0		
121	699.5	0		
122	702.7	0		
123	706	0		
124	709.2	0		
125	712.5	0		
126	715.8	0		
127	719	0		
128	722.3	0		
129	725.5	0		
130	728.8	0		
131	732	0		
132	735.3	0		
133	738.5	0		
134	741.8	0		
135	745	0		
136	748.3	0		
137	751.5	0		
138	754.8	0		
139	758	0		
140	761.3	0		
141	764.5	0		
142	767.8	0		
143	771	0		
144	774.2	0		
145	777.5	0		
146	780.7	0		
147	784	0		
148	787.2	0		
149	790.5	0		
150	793.7	0		
151	796.9	0		
152	800.2	0		
153	803.4	0		
154	806.7	0		
155	809.9	0		
156	813.1	0		
157	816.4	0		
158	819.6	0		
159	822.9	0		
160	826.1	0		
161	829.3	0		
162	832.6	0		
163	835.8	0		
164	839	0		
165	842.3	0		
166	845.5	0		
167	848.7	0		
168	852	0		
169	855.2	0		
170	858.4	0		
171	861.6	0		
172	864.9	0		
173	868.1	0		
174	871.3	0		
175	874.6	0		
176	877.8	0		
177	881	0		
178	884.2	0		
179	887.5	0		
180	890.7	0		
181	893.9	0		
182	897.1	0		
183	900.4	0		
184	903.6	0		
185	906.8	0		
186	910	0		
187	913.2	0		
188	916.5	0		
189	919.7	0		
190	922.9	0		
191	926.1	0		
192	929.3	0		
193	932.6	0		
194	935.8	0		
195	939	0		
196	942.2	0		
197	945.4	0		
198	948.6	0		
199	951.8	0		
200	955.1	0		
201	958.3	0		
202	961.5	0		
203	964.7	0		
204	967.9	0		
205	971.1	0		
206	974.3	0		
207	977.5	0		
208	980.7	0		
209	983.9	0		
210	987.2	0		
211	990.4	0		
212	993.6	0		
213	996.8	0		
214	1000	0		
215	1003.2	0		
216	1006.4	0		
217	1009.6	0		
218	1012.8	0		
219	1016	0		
220	1019.2	0		
221	1022.4	0		
222	1025.6	0		
223	1028.8	0		
224	1032	0		
225	1035.2	0		
226	1038.4	0		
227	1041.6	0		
228	1044.8	0		
229	1048	0		
230	1051.2	0		
231	1054.4	0		
232	1057.6	0		
233	1060.8	0		
234	1064	0		
235	1067.2	0		
236	1070.3	0		
237	1073.5	0		
238	1076.7	0		
239	1079.9	0		
240	1083.1	0		
241	1086.3	0		
242	1089.5	0		
243	1092.7	0		
244	1095.9	0		
245	1099.1	0		
246	1102.2	0		
247	1105.4	0		
248	1108.6	0		
249	1111.8	0		
250	1115	0		
251	1118.2	0		
252	1121.3	0		
253	1124.5	0		
254	1127.7	0		
255	1130.9	0		
256	1134.1	0		
